CustomerID,Recency,Frequency,Monetary
ID_110650,201,2,241483.0
ID_102041,4,26,875895.0
ID_108668,192,4,397337.0
ID_101114,4,41,1034240.0
ID_113902,182,6,291823.0
ID_111963,166,6,324481.0
ID_111072,125,6,273571.0
ID_103002,7,5,47581.0
ID_119771,45,20,662615.0
ID_108115,163,5,293191.0
ID_103525,13,2,50366.0
ID_107879,9,6,28553.0
ID_116441,45,24,713130.0
ID_116296,52,26,438161.0
ID_112566,199,3,324567.0
ID_105252,9,3,50735.0
ID_119393,46,19,464697.0
ID_116796,60,16,502314.0
ID_108094,181,4,358456.0
ID_100322,5,37,1077981.0
ID_109923,109,4,309104.0
ID_107459,1,4,30947.0
ID_119024,45,25,454353.0
ID_117553,37,16,462966.0
ID_109119,200,6,261351.0
ID_116421,51,19,512932.0
ID_116060,67,18,532230.0
ID_110120,123,8,222969.0
ID_119055,61,21,551456.0
ID_103649,11,3,25846.0
ID_103941,1,6,40691.0
ID_117880,44,15,481615.0
ID_116675,49,18,564527.0
ID_112630,183,5,304838.0
ID_111443,143,7,282240.0
ID_112157,198,8,257448.0
ID_113835,158,5,319130.0
ID_103434,13,2,44500.0
ID_118739,44,20,575125.0
ID_117407,54,19,605457.0
ID_115440,49,17,520842.0
ID_110406,154,2,303106.0
ID_106517,1,2,48732.0
ID_100971,12,34,1058510.0
ID_116487,42,16,664159.0
ID_119730,19,18,573019.0
ID_113137,135,4,282174.0
ID_103669,12,2,39471.0
ID_115983,71,24,542461.0
ID_104058,3,3,33013.0
ID_114976,214,5,278364.0
ID_115698,68,17,510296.0
ID_113829,176,6,320373.0
ID_113419,162,7,254121.0
ID_100960,1,34,917393.0
ID_117744,46,18,572851.0
ID_109864,196,3,344300.0
ID_111263,155,7,320210.0
ID_115782,54,16,526171.0
ID_117196,46,14,589919.0
ID_107554,9,2,38525.0
ID_110498,160,4,290436.0
ID_117059,61,24,516550.0
ID_117928,45,14,574303.0
ID_107085,9,2,61209.0
ID_114753,152,5,323946.0
ID_104519,9,2,40241.0
ID_103024,3,2,45570.0
ID_112121,196,1,225141.0
ID_118494,53,14,615584.0
ID_105483,8,2,48391.0
ID_101419,11,50,901143.0
ID_106209,5,5,28218.0
ID_110742,170,5,292565.0
ID_116143,50,15,529314.0
ID_117617,69,14,470872.0
ID_114568,143,8,295452.0
ID_100980,2,52,965308.0
ID_102783,7,49,953579.0
ID_107713,13,2,40483.0
ID_111518,98,6,292462.0
ID_108600,162,7,262488.0
ID_111640,163,7,297743.0
ID_118830,36,14,580630.0
ID_112562,153,5,298284.0
ID_112751,186,6,372269.0
ID_106384,10,6,48348.0
ID_104807,5,4,45168.0
ID_106195,13,1,37989.0
ID_110648,196,5,419575.0
ID_107567,12,4,35014.0
ID_116397,39,21,516600.0
ID_117524,51,17,563994.0
ID_101346,2,43,942471.0
ID_113124,128,7,347902.0
ID_112673,94,4,296922.0
ID_115455,59,19,509716.0
ID_114001,107,3,219050.0
ID_118621,55,15,520328.0
ID_102119,9,40,881549.0
ID_115304,47,15,454384.0
ID_104309,13,2,54274.0
ID_104484,8,2,43415.0
ID_111013,152,5,286355.0
ID_104770,1,4,39297.0
ID_102712,2,46,1040701.0
ID_112186,158,5,302661.0
ID_116615,29,16,568129.0
ID_110947,166,9,295055.0
ID_102545,3,35,954737.0
ID_112619,139,5,291201.0
ID_109851,133,4,232521.0
ID_104410,8,2,29466.0
ID_119647,56,17,493804.0
ID_112344,179,4,337372.0
ID_112407,147,7,352989.0
ID_109610,157,7,317630.0
ID_110718,139,7,345314.0
ID_107571,6,3,33710.0
ID_103570,7,2,46506.0
ID_108602,129,3,308575.0
ID_103559,7,3,41531.0
ID_104991,3,3,41202.0
ID_107439,10,4,41053.0
ID_109325,167,4,326824.0
ID_102300,7,37,926153.0
ID_107666,8,1,40106.0
ID_105804,11,5,28072.0
ID_112022,184,6,280190.0
ID_115537,57,16,497422.0
ID_109757,150,8,329038.0
ID_112014,147,7,290156.0
ID_105211,1,4,39497.0
ID_111548,114,6,336241.0
ID_112366,156,7,308288.0
ID_109270,125,10,358008.0
ID_103975,12,5,37927.0
ID_116090,42,15,485426.0
ID_117232,66,22,513633.0
ID_117443,54,17,580059.0
ID_113656,193,7,314879.0
ID_115645,39,28,593530.0
ID_102730,6,40,901495.0
ID_103298,10,1,38247.0
ID_108956,201,6,321338.0
ID_117410,24,20,565566.0
ID_115155,32,22,585136.0
ID_117276,51,22,486637.0
ID_106703,13,3,39454.0
ID_101968,2,39,937649.0
ID_104936,5,2,26604.0
ID_102112,1,42,953437.0
ID_100878,1,44,951284.0
ID_119075,36,24,449509.0
ID_112989,96,6,236387.0
ID_107277,12,3,42589.0
ID_105709,7,1,35855.0
ID_112078,119,7,322214.0
ID_106687,9,6,30394.0
ID_106418,11,4,38797.0
ID_110431,145,10,282238.0
ID_109982,114,5,289966.0
ID_119073,46,17,492622.0
ID_104629,8,8,35425.0
ID_108862,209,4,312722.0
