client_id,total_ship_vol,num_shipments,app_activity,delivery_dist,fuel_consumption,reliability_score,avg_parcel_weight,years_as_client,weekend_ship_ratio,avg_delivery_time,complaints_filed,total_deliv_cost,client_retention_flag,customer_segment,region,shipping_service,vehicle_type,warehouse_id,shipment_priority,delay_risk_flag
CLI-0000000,3955.5545542028744,455.51313610295796,99.96786621009342,77.64467288993173,85.08982777487235,853.0652337461776,7.834160012013558,2.2929489960365528,0.852855599891319,4.887242415898672,0,1590.0493186495714,1,MEDIUM,SOUTH,STANDARD,VAN,WH-001,2,1
CLI-0000001,1787.4037715528596,-103.10626161522055,2.122160717661467,82.92360142622994,-26.56181758753086,990.0,7.750972738817519,3.329986461457767,0.7082611145933071,15.249520098151494,1,-124.10371761945811,0,SMALL,NORTH,ECONOMY,MOTORCYCLE,WH-001,3,1
CLI-0000002,3576.3276717620324,344.8133565285176,117.38175692497732,56.79366179264573,81.32536746335077,807.6342959647325,9.9327898730706,8.276960636813431,0.5695441682555151,2.423518862832934,1,1487.5745550941688,1,MEDIUM,NORTH,EXPRESS,MOTORCYCLE,WH-004,3,0
CLI-0000003,4006.4440581964905,434.88641344785765,138.99332214582094,72.86825445729224,97.03294863753183,765.1304923892072,4.109719556887332,9.953338722566667,0.2653443624462113,1.5779655042865253,1,1705.8233139315275,1,MEDIUM,NORTH,STANDARD,VAN,WH-002,3,1
CLI-0000004,3857.732943183249,405.13700410986746,104.22038617775607,65.41344409086359,72.09643776745847,830.2539768373701,7.742200443376783,8.93252437877322,0.7375401022030511,7.343381466096615,2,1418.1351815043386,1,MEDIUM,SOUTH,ECONOMY,VAN,WH-004,3,1
CLI-0000005,1379.7160671189445,-231.61826881667835,-22.016708478029123,120.7692101472205,-46.814485186452,990.0,4.723925787996268,2.7701050444009776,0.3415999277656252,15.250150311468115,2,-390.3424138009095,0,SMALL,NORTH,STANDARD,VAN,WH-003,1,0
CLI-0000006,2620.8467575318596,127.31223688073653,7.103389330781914,58.82726871750698,-0.8652555609280927,990.0,8.708837846956616,7.631123024515597,0.8715560330118386,13.272141593604202,2,439.69081231524245,0,SMALL,CENTER,ECONOMY,MOTORCYCLE,WH-003,5,0
CLI-0000007,4579.504350234184,580.7525525672297,90.43713434238705,108.67097323907859,91.24871821221042,867.3831723327138,5.0823066781817,6.56933279823388,0.6550172934496331,5.851717625527554,1,1759.6072078230536,1,MEDIUM,NORTH,EXPRESS,VAN,WH-003,5,0
CLI-0000008,2049.4951390264782,-24.550950568077827,13.263025219781985,73.46815766956297,-16.66289804424249,990.0,5.898923028739455,7.351478134401242,0.8508507643688173,14.979765273969186,2,114.64061638246936,0,SMALL,NORTH,EXPRESS,TRUCK,WH-001,4,1
CLI-0000009,2461.0110805774143,63.913302368544485,-21.269950797286143,48.62493515764082,-13.754393046512583,990.0,7.070454201406717,2.8757763161125554,0.36051435210744853,15.608200094615576,2,237.73147765054355,0,SMALL,NORTH,EXPRESS,TRUCK,WH-002,2,0
CLI-0000010,4349.858127577648,536.1242710694816,116.78379043782817,90.07710477120584,96.18547792879991,821.2677241073801,8.339620884108445,3.2670403937040122,0.8517740359861382,3.339984002130375,2,1822.245564467388,1,MEDIUM,CENTER,STANDARD,TRUCK,WH-001,1,0
CLI-0000011,3801.98749989136,394.3397709616883,70.62379948149083,55.91716565049191,61.60189005493048,896.6308030833414,4.235245556721411,5.568088638196026,0.7567931372994274,8.14182174143665,2,1322.7277912363859,1,MEDIUM,NORTH,ECONOMY,MOTORCYCLE,WH-002,4,1
CLI-0000012,1516.1608835061136,-164.7650618040761,2.2808318733926756,111.69073072016432,-35.97231399374956,990.0,5.134215841682474,3.224566617642707,0.816447308408734,15.4846325770496,1,-199.6973291265503,0,SMALL,CENTER,STANDARD,MOTORCYCLE,WH-002,4,1
CLI-0000013,4587.8737196422935,608.5374780995757,75.47422647841194,117.59790724260162,84.89147606068518,882.5637674316716,9.839715909908172,3.5262888381959847,0.8293448107380189,6.654728834496894,1,1774.914359866959,1,MEDIUM,CENTER,STANDARD,VAN,WH-002,1,0
CLI-0000014,1822.6891982925167,-79.93125803941149,-6.052136133263666,83.49649454162659,-23.80228384369841,990.0,7.154090412281252,4.925086099187314,0.8480923317788481,15.671732805850088,0,-91.28492474243362,0,SMALL,SOUTH,EXPRESS,VAN,WH-001,4,0
CLI-0000015,2254.055438452514,-7.268124908816748,123.58961764760932,64.10116056049132,41.13048365603747,823.4478126873425,4.3528385713138364,9.105834215357161,0.9557075950842959,4.923775493382534,0,746.0340379091116,1,LARGE,CENTER,EXPRESS,MOTORCYCLE,WH-001,3,1
CLI-0000016,2261.32244193385,-9.71077741219826,94.5153039406453,65.9463828663102,24.96900824290185,868.5769448477079,7.669241545858313,8.972746973512539,0.5008608051527784,7.017683547456581,0,595.3127924871642,0,LARGE,SOUTH,ECONOMY,MOTORCYCLE,WH-004,4,1
CLI-0000017,3681.3712480187264,331.15919680911566,97.11275239570003,61.12402200006077,67.38036665790194,848.7599325825369,6.430884406405361,3.1572733325468407,0.8076573293204053,5.215642419177752,2,1321.459775510095,1,MEDIUM,CENTER,EXPRESS,MOTORCYCLE,WH-001,4,0
CLI-0000018,1810.9490210028573,-70.6318283471226,110.9029154815913,74.38484518954445,35.730787302749,826.5631125418181,3.8974908743728944,6.701075384662321,0.7541414045510302,2.486653924946231,1,598.9484629136822,1,LARGE,CENTER,EXPRESS,TRUCK,WH-002,1,1
CLI-0000019,2506.4906767994803,81.37579696923356,11.348363643743113,58.098344059715366,-3.7351747509920856,990.0,2.463980307576585,3.280079832344123,0.7515642973019206,12.408348761745096,5,340.60888937183745,0,SMALL,SOUTH,ECONOMY,VAN,WH-002,4,0
CLI-0000020,3816.0152781893817,450.18360256630143,108.49589996960772,81.22744369298734,84.65049998101112,840.6507314574543,4.34687453638887,8.76172692786379,0.6049522351266037,3.902117103981527,0,1576.987154515281,1,MEDIUM,NORTH,ECONOMY,VAN,WH-002,4,0
CLI-0000021,2748.6160408793166,104.32899097675455,-11.279883835003979,43.812480524513816,-13.093562915805123,990.0,6.154094284487731,4.188678138395858,0.6336652726818488,17.07107399805305,1,318.7927873513325,0,SMALL,CENTER,ECONOMY,MOTORCYCLE,WH-003,4,1
CLI-0000022,4387.57281948948,499.94896707434674,118.56471407456418,84.74961013141463,91.7305620987026,831.0491708131792,8.831240729475716,2.1514941105482834,0.5636048086948616,4.263818300942611,1,1720.1229727012183,1,MEDIUM,NORTH,ECONOMY,VAN,WH-003,1,1
CLI-0000023,2186.445492126575,-15.600642981999592,13.378445443514481,64.4306794748551,-10.9075842757643,990.0,5.3149402946938515,7.517706560003943,0.49387927533253184,13.913297233172564,0,175.3253996713437,0,SMALL,NORTH,ECONOMY,MOTORCYCLE,WH-002,2,0
CLI-0000024,1739.208544793913,-100.28059178635215,22.0677981848714,93.09730834663381,-15.459195464557142,990.0,4.203863016110662,4.304420303433469,0.4586358864400109,13.741126274365662,0,64.25252624231578,0,SMALL,SOUTH,EXPRESS,TRUCK,WH-003,2,0
CLI-0000025,3756.985178885373,400.26715332102924,117.52941993827595,63.53372497843947,81.44386574496839,825.8087269780272,9.680320782951583,2.6953227616868776,0.6484503953868929,4.326494966464226,1,1495.564039481292,1,MEDIUM,SOUTH,EXPRESS,MOTORCYCLE,WH-003,5,1
CLI-0000026,1875.817166210842,-55.38558826845313,-8.750386757822017,75.17066817464669,-24.421335317028202,990.0,3.5220176936338365,1.0158961144053391,0.8714600724047308,14.033874329092178,5,8.818831444000207,0,SMALL,NORTH,ECONOMY,TRUCK,WH-003,2,1
CLI-0000027,2509.701270905331,58.155060569885975,1.8355144991456882,58.65061568459785,-4.170677255678367,990.0,8.058249067102167,4.609250482429606,0.8627709643305658,15.242222186522739,1,318.27387281041194,0,SMALL,NORTH,EXPRESS,VAN,WH-004,2,1
CLI-0000028,2399.1950612928567,70.96296910620153,31.194676158812477,61.52413868035104,3.2255056638707815,990.0,7.255286109280519,6.781709528560271,0.874084180451055,13.377976769085514,0,358.41923878145747,0,SMALL,SOUTH,ECONOMY,MOTORCYCLE,WH-002,1,1
CLI-0000029,1962.5234969934932,-53.38209731791473,16.842515593857566,71.97783730483361,-14.764060364358427,990.0,7.929374783559334,5.867033890750453,0.5751887290590311,13.966337879136013,0,121.0403838665948,0,SMALL,SOUTH,EXPRESS,MOTORCYCLE,WH-003,5,0
CLI-0000030,3853.628804883305,393.68441500825725,109.84394315658074,60.03775158086427,78.89221563792637,833.5608817789093,2.741810854547775,4.423754151533769,0.6707587747795606,3.908561861243441,1,1465.8426528011908,1,MEDIUM,NORTH,EXPRESS,VAN,WH-001,2,0
CLI-0000031,2048.7135030540153,-35.61142241459306,30.14958421001141,69.17717098065081,-8.85115312557162,990.0,6.134280584175535,4.584060903590861,0.8978349559963894,12.945642064243856,0,243.82184314678352,0,SMALL,SOUTH,EXPRESS,MOTORCYCLE,WH-001,3,1
CLI-0000032,4202.584234133099,512.675225463828,99.15764628041141,91.52617813273693,85.00782966482515,863.6120333407209,3.539913708771345,7.130600357643308,0.7709492126478845,4.162040663789909,1,1683.9664764406332,1,MEDIUM,SOUTH,STANDARD,TRUCK,WH-001,2,1
CLI-0000033,4201.449244383316,457.28922289951976,96.58538195125347,80.11465313747699,83.91192495306746,819.6239574735446,9.88191425763641,1.7061927937512145,0.7138620090354112,2.767711260534642,0,1628.9927248586932,1,MEDIUM,SOUTH,STANDARD,VAN,WH-001,2,0
CLI-0000034,4232.82738979212,476.9180078587992,90.98469318324005,76.9442203845257,77.01781844104235,875.5837556964178,2.120861976334375,9.5032088649727,0.7646562106992998,5.599112063893678,3,1584.589089747879,1,MEDIUM,SOUTH,EXPRESS,MOTORCYCLE,WH-001,5,1
CLI-0000035,2265.7925492137165,7.132908184193891,3.8252186914407704,75.03828341324773,-10.221406919867695,990.0,8.843483040949017,5.310603822191936,0.6884346722579611,13.399273527606146,0,118.34772636798935,0,SMALL,CENTER,EXPRESS,MOTORCYCLE,WH-003,3,1
CLI-0000036,1662.4792287644477,-119.06508767434502,103.29407368866926,86.24513734016703,24.87826930684823,838.3351268889686,3.503153382210554,1.5288827775652054,0.6171344086958322,4.232195995218968,0,460.2610227542713,0,LARGE,CENTER,ECONOMY,MOTORCYCLE,WH-003,3,0
CLI-0000037,4008.659807278476,460.4106151209735,124.16916815414493,83.9760929971894,88.00110058831517,819.0071457946387,7.73060575319791,5.939893853042677,0.8930510157029614,2.031364743963261,2,1666.193301599577,1,MEDIUM,CENTER,STANDARD,MOTORCYCLE,WH-001,3,0
CLI-0000038,1704.8160116854303,-66.55913053566644,-21.77282769709304,78.33365589511882,-26.99765757221254,990.0,4.9929542724237175,9.60145858810881,0.6860705298189445,14.900980281246424,1,-52.453496440254504,0,SMALL,SOUTH,EXPRESS,MOTORCYCLE,WH-002,4,0
CLI-0000039,2078.6948808214543,-12.728817679640427,95.66889528442402,66.66290458588004,29.677109193402753,863.8042289907112,3.94810588743601,5.458630197082453,0.4858206102589947,6.342393151977173,1,596.2474160857766,1,LARGE,CENTER,STANDARD,TRUCK,WH-002,4,1
CLI-0000040,2091.465963771707,-24.34608705410713,89.44180482401167,73.16974081022231,30.429682786577537,831.0436000674204,7.041874312845437,6.810221410278046,0.7126234984031641,7.245238139032464,2,601.4204811554047,0,LARGE,SOUTH,EXPRESS,VAN,WH-003,4,0
CLI-0000041,4010.9271880517126,429.1011561945875,90.70679172510317,77.32346034221025,74.17639163337627,877.9403490072978,5.921904899367518,5.526625208255249,0.6161631255097247,6.214761464192128,0,1483.9101228126426,1,MEDIUM,NORTH,ECONOMY,VAN,WH-003,1,1
CLI-0000042,2034.4863224687367,-20.19159264684225,112.76725699436665,78.73022931400368,39.52015912138077,830.6393796402539,9.344374471170592,1.890098684762592,0.3094351569149877,3.2640415832137872,1,661.2060503092006,1,LARGE,NORTH,EXPRESS,VAN,WH-004,2,0
CLI-0000043,1681.5828307239813,-65.81838323006917,-18.615814512259302,80.63500266660397,-32.14018350038128,990.0,6.242053087806023,6.800586722896476,0.5179625243846571,17.635967602360786,0,-119.3117627779396,0,SMALL,SOUTH,EXPRESS,MOTORCYCLE,WH-004,2,0
CLI-0000044,3915.8245963201502,509.95646472872033,91.64541556461364,87.97993811297711,83.39711500466206,850.5388869992512,6.913560325375896,9.60959720265796,0.17995014906999635,4.858190615295812,2,1644.940225985759,1,MEDIUM,CENTER,EXPRESS,MOTORCYCLE,WH-002,2,0
CLI-0000045,3812.653956586495,379.2173136278776,102.90045489248531,59.173059714176645,76.748473637613,842.2029236746232,2.9426192742568658,5.801953891685493,0.5340121153543217,5.041308054169076,1,1441.518627584531,1,MEDIUM,SOUTH,EXPRESS,MOTORCYCLE,WH-002,2,0
CLI-0000046,3501.127904621149,324.1951681651935,102.74288957898742,59.64917846291475,67.5462685595834,845.9965788849782,9.140058712983723,1.3116929549819327,0.7097463851648926,6.669228671683189,1,1268.708835922051,1,MEDIUM,NORTH,STANDARD,VAN,WH-001,2,1
